Grid Size,Thread Count,Frame Rate
40000,2,46.88
40000,2,46.95
40000,2,46.90
40000,2,46.96
40000,2,46.93
40000,2,46.99
40000,2,46.96
40000,2,47.02
40000,2,46.98
40000,2,47.04
40000,2,47.01
40000,2,47.07
40000,2,47.01
40000,2,47.07
40000,2,47.14
40000,2,47.09
40000,2,47.15
40000,2,47.08
40000,2,47.15
40000,2,47.21
40000,2,47.16
40000,2,47.23
40000,2,47.19
40000,2,47.25
40000,2,47.20
40000,2,47.27
40000,2,47.22
40000,2,47.29
40000,2,47.25
40000,2,47.31
40000,2,47.27
40000,2,47.33
40000,2,47.40
40000,2,47.35
40000,2,47.41
40000,2,47.36
40000,2,47.42
40000,2,47.38
40000,2,47.44
40000,2,47.41
40000,2,47.48
40000,2,47.42
40000,2,47.48
40000,2,47.55
40000,2,47.46
40000,2,47.52
40000,2,47.59
40000,2,47.52
40000,2,47.58
40000,2,47.53
40000,2,47.59
40000,2,47.66
40000,2,47.62
40000,2,47.68
40000,2,47.64
40000,2,47.70
40000,2,47.65
40000,2,47.72
40000,2,47.66
40000,2,47.72
40000,2,47.67
40000,2,47.73
40000,2,47.79
40000,2,47.75
40000,2,47.82
40000,2,47.77
40000,2,47.83
40000,2,47.79
40000,2,47.85
40000,2,47.80
40000,2,47.87
40000,2,47.81
40000,2,47.87
40000,2,47.93
40000,2,47.86
40000,2,47.92
40000,2,47.88
40000,2,47.95
40000,2,47.89
40000,2,47.95
40000,2,48.01
40000,2,47.96
40000,2,48.02
40000,2,47.97
40000,2,48.03
40000,2,47.98
40000,2,48.04
40000,2,48.10
40000,2,48.05
40000,2,48.11
40000,2,48.06
40000,2,48.12
40000,2,48.09
40000,2,48.14
40000,2,48.09
40000,2,48.15
40000,2,48.21
40000,2,48.16
40000,2,48.22
40000,2,48.16
40000,2,48.22
40000,2,48.28
40000,2,48.24
40000,2,48.30
40000,2,48.25
40000,2,48.30
40000,2,48.25
40000,2,48.31
40000,2,48.26
40000,2,48.32
40000,2,48.38
40000,2,48.34
40000,2,48.39
40000,2,48.35
40000,2,48.41
40000,2,48.37
40000,2,48.43
40000,2,48.37
40000,2,48.43
40000,2,48.39
40000,2,48.45
40000,2,48.51
40000,2,48.47
40000,2,48.53
40000,2,48.48
40000,2,48.54
40000,2,48.50
40000,2,48.56
40000,2,48.52
40000,2,48.58
40000,2,48.53
40000,2,48.59
40000,2,48.55
40000,2,48.61
40000,2,48.57
40000,2,48.63
40000,2,48.59
40000,2,48.65
40000,2,48.60
40000,2,48.66
40000,2,48.72
40000,2,48.63
40000,2,48.69
40000,2,48.75
40000,2,48.71
40000,2,48.77
40000,2,48.74
40000,2,48.79
40000,2,48.76
40000,2,48.82
40000,2,48.78
40000,2,48.84
40000,2,48.80
40000,2,48.86
40000,2,48.82
40000,2,48.88
40000,2,48.83
40000,2,48.89
40000,2,48.84
40000,2,48.90
40000,2,48.86
40000,2,48.92
40000,2,48.86
40000,2,48.91
40000,2,48.97
40000,2,48.93
40000,2,48.99
40000,2,48.94
40000,2,48.99
40000,2,48.95
40000,2,49.00
40000,2,48.95
40000,2,49.01
40000,2,49.06
40000,2,49.01
40000,2,49.06
40000,2,49.01
40000,2,49.07
40000,2,49.02
40000,2,49.07
40000,2,49.12
40000,2,49.09
40000,2,49.14
40000,2,49.11
40000,2,49.16
40000,2,49.11
40000,2,49.16
40000,2,49.11
40000,2,49.17
40000,2,49.23
40000,2,49.19
40000,2,49.25
40000,2,49.21
40000,2,49.26
40000,2,49.21
40000,2,49.27
40000,2,49.23
40000,2,49.28
40000,2,49.22
40000,2,49.27
40000,2,49.32
40000,2,49.27
40000,2,49.32
40000,2,49.26
40000,2,49.31
40000,2,49.37
40000,2,49.33
40000,2,49.38
40000,2,49.34
40000,2,49.40
40000,2,49.36
40000,2,49.41
40000,2,49.34
40000,2,49.39
40000,2,49.44
40000,2,49.40
40000,2,49.45
40000,2,49.50
40000,2,49.47
40000,2,49.52
40000,2,49.48
40000,2,49.53
40000,2,49.50
40000,2,49.55
40000,2,49.51
40000,2,49.56
40000,2,49.51
40000,2,49.57
40000,2,49.50
40000,2,49.55
40000,2,49.61
40000,2,49.57
40000,2,49.62
40000,2,49.58
40000,2,49.63
40000,2,49.59
40000,2,49.64
40000,2,49.60
40000,2,49.65
40000,2,49.70
40000,2,49.67
40000,2,49.72
40000,2,49.68
40000,2,49.73
40000,2,49.69
40000,2,49.74
40000,2,49.71
40000,2,49.76
40000,2,49.72
40000,2,49.77
40000,2,49.73
40000,2,49.78
40000,2,49.73
40000,2,49.78
40000,2,49.84
40000,2,49.79
40000,2,49.84
40000,2,49.80
40000,2,49.84
40000,2,49.80
40000,2,49.85
40000,2,49.90
40000,2,49.83
40000,2,49.87
40000,2,49.93
40000,2,49.89
40000,2,49.94
40000,2,49.90
40000,2,49.95
40000,2,49.90
40000,2,49.95
40000,2,49.92
40000,2,49.97
40000,2,49.92
40000,2,49.97
40000,2,50.02
40000,2,49.97
40000,2,50.02
40000,2,49.97
40000,2,50.02
40000,2,49.98
40000,2,50.04
40000,2,50.08
40000,2,50.05
40000,2,50.10
40000,2,50.05
40000,2,50.10
40000,2,50.06
40000,2,50.11
40000,2,50.07
40000,2,50.12
40000,2,50.07
40000,2,50.12
40000,2,50.17
40000,2,50.13
40000,2,50.18
40000,2,50.14
40000,2,50.20
40000,2,50.15
40000,2,50.20
40000,2,50.15
40000,2,50.20
40000,2,50.25
40000,2,50.21
40000,2,50.26
40000,2,50.23
40000,2,50.28
40000,2,50.23
40000,2,50.28
40000,2,50.24
40000,2,50.29
40000,2,50.26
40000,2,50.31
40000,2,50.26
40000,2,50.31
40000,2,50.27
40000,2,50.32
40000,2,50.37
40000,2,50.32
40000,2,50.37
40000,2,50.32
40000,2,50.37
40000,2,50.32
40000,2,50.37
40000,2,50.42
40000,2,50.38
40000,2,50.43
40000,2,50.40
40000,2,50.45
40000,2,50.42
40000,2,50.47
40000,2,50.43
40000,2,50.48
40000,2,50.44
40000,2,50.49
40000,2,50.43
40000,2,50.48
40000,2,50.53
40000,2,50.48
40000,2,50.53
40000,2,50.49
40000,2,50.54
40000,2,50.50
40000,2,50.55
40000,2,50.51
40000,2,50.56
40000,2,50.52
40000,2,50.57
40000,2,50.53
40000,2,50.57
40000,2,50.62
40000,2,50.57
40000,2,50.62
40000,2,50.56
40000,2,50.61
40000,2,50.66
40000,2,50.61
40000,2,50.66
40000,2,50.62
40000,2,50.67
40000,2,50.63
40000,2,50.67
40000,2,50.63
40000,2,50.67
40000,2,50.72
40000,2,50.69
40000,2,50.73
40000,2,50.70
40000,2,50.75
40000,2,50.71
40000,2,50.75
40000,2,50.72
40000,2,50.77
40000,2,50.73
40000,2,50.78
40000,2,50.75
40000,2,50.79
40000,2,50.76
40000,2,50.81
40000,2,50.76
40000,2,50.81
40000,2,50.86
40000,2,50.82
40000,2,50.86
40000,2,50.83
40000,2,50.87
40000,2,50.83
40000,2,50.87
40000,2,50.84
40000,2,50.88
40000,2,50.84
40000,2,50.89
40000,2,50.94
40000,2,50.90
40000,2,50.95
40000,2,50.91
40000,2,50.95
40000,2,50.90
40000,2,50.95
40000,2,50.90
40000,2,50.95
40000,2,50.99
40000,2,50.95
40000,2,50.99
40000,2,50.96
40000,2,51.01
40000,2,50.97
40000,2,51.02
40000,2,50.98
40000,2,51.03
40000,2,50.99
40000,2,51.04
40000,2,50.99
40000,2,51.03
40000,2,51.08
40000,2,51.03
40000,2,51.07
40000,2,51.02
40000,2,51.07
40000,2,51.11
40000,2,51.09
40000,2,51.13
40000,2,51.09
40000,2,51.13
40000,2,51.09
40000,2,51.14
40000,2,51.10
40000,2,51.15
40000,2,51.12
40000,2,51.16
40000,2,51.12
40000,2,51.17
40000,2,51.14
40000,2,51.19
40000,2,51.14
40000,2,51.19
40000,2,51.23
